"subject" "activity" "measurement" "mean"
1 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.22159824394
1 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.261237565425532
1 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.278917629056604
1 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.277330758736842
1 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.289188320408163
1 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.255461689622641
3 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.275516852741935
3 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.257197599134615
3 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.280046513278689
3 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.275567462068966
3 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.292423484693878
3 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.260819873067797
5 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.278334325576923
5 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.273694139545455
5 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.282544390892857
5 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.27784234625
5 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.29354392712766
5 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.268459469914894
6 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.248656520140351
6 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.276778487454545
6 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.280346248596491
6 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.283658868070175
6 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.277045258145833
6 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.268229355098039
7 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.250176694038462
7 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.284674637291667
7 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.282723539433962
7 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.275592961754386
7 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.28030708
7 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.248706923078431
8 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.261254282907407
8 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.267491472934783
8 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.279620986111111
8 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.27468631
